channel,video,url,time,observation,confidence,category
"Devsplainers","We Just Hit the Local LLM Tipping Point (Colibri)","https://www.youtube.com/watch?v=19xCOJxWU0A","0.0-2.1","First captioned spoken text: “744”","observed","script"
"Devsplainers","We Just Hit the Local LLM Tipping Point (Colibri)","https://www.youtube.com/watch?v=19xCOJxWU0A","0-467.4","Estimated caption-derived speaking rate: 152 words per minute. Rolling caption duplicates were removed; caption errors can affect this estimate.","likely-inference","pacing"
"Devsplainers","Codex vs Claude Code: Why Top Devs Use Both (2026)","https://www.youtube.com/watch?v=3DhgRoP54H8","0.0-1.7","First captioned spoken text: “67%”","observed","script"
"Devsplainers","Codex vs Claude Code: Why Top Devs Use Both (2026)","https://www.youtube.com/watch?v=3DhgRoP54H8","0-663.8","Estimated caption-derived speaking rate: 141 words per minute. Rolling caption duplicates were removed; caption errors can affect this estimate.","likely-inference","pacing"
"Devsplainers","These Lunatics Put a 27B Model on an iPhone","https://www.youtube.com/watch?v=EfuLE8jKhU4","0.0-4.6","First captioned spoken text: “Bonsai 27B needs 54 GB of memory to run”","observed","script"
"Devsplainers","These Lunatics Put a 27B Model on an iPhone","https://www.youtube.com/watch?v=EfuLE8jKhU4","0-501.0","Estimated caption-derived speaking rate: 155 words per minute. Rolling caption duplicates were removed; caption errors can affect this estimate.","likely-inference","pacing"
"Devsplainers","AI Agent Memory: The Part Nobody Explains","https://www.youtube.com/watch?v=Ez4siJMzLX8","0.0-2.8","First captioned spoken text: “Your AI agent doesn't remember a single”","observed","script"
"Devsplainers","AI Agent Memory: The Part Nobody Explains","https://www.youtube.com/watch?v=Ez4siJMzLX8","0-623.2","Estimated caption-derived speaking rate: 161 words per minute. Rolling caption duplicates were removed; caption errors can affect this estimate.","likely-inference","pacing"
"Devsplainers","How DeepSeek Is Running AI Coding Costs Into the Ground","https://www.youtube.com/watch?v=F3rmpMNoZP4","0.0-2.0","First captioned spoken text: “$19.27.”","observed","script"
"Devsplainers","How DeepSeek Is Running AI Coding Costs Into the Ground","https://www.youtube.com/watch?v=F3rmpMNoZP4","0-516.8","Estimated caption-derived speaking rate: 154 words per minute. Rolling caption duplicates were removed; caption errors can affect this estimate.","likely-inference","pacing"
"Devsplainers","Reward Hacking: Why OpenAI's Model Broke Into Hugging Face","https://www.youtube.com/watch?v=jgYktxRm9oI","0.0-3.2","First captioned spoken text: “Last week, an open AI model cheated on a”","observed","script"
